text,label
I want to book a 5 day Sri Lanka tour,booking
Please send me your tour packages,booking
What is the price for a family trip,booking
I want to customize a honeymoon tour,booking
Is airport pickup included in the package,booking
Can you arrange a private tour guide,booking
I am unhappy with your service,complaint
My refund is still pending,complaint
This delay is unacceptable,complaint
Your agent did not respond properly,complaint
I waited too long for confirmation,complaint
Very poor customer service experience,complaint
Can you send visa requirements,visa
What documents are needed for visa,visa
Do Sri Lankan visas need bank statements,visa
What is the visa process for Indians,visa
How long does visa approval take,visa
Is visa on arrival available,visa
Hello I need some information,general
Can you tell me your office location,general
What are your working hours,general
How can I contact your support team,general
Do you have WhatsApp contact number,general
Thank you for your quick response,general
Congratulations you won a prize,spam
Click here to claim your reward,spam
You have been selected for a free trip,spam
Limited time offer click now,spam
Earn money fast from home,spam
This is not a spam message trust us,spam
